date,gold_usd,gold_jpy,audjpy,zarjpy,cadjpy,chfjpy,audusd,zarusd,cadusd,chfusd,jpy_per_usd,vix,usd_broad,eur_per_usd,gbp_per_usd,aud_per_usd,zar_per_usd,cad_per_usd,chf_per_usd
2005-01-04,427.75,44601.4925,79.95552488306112,17.793515358361773,85.13226649248855,89.31814288161726,0.7668123610152595,0.1706484641638225,0.8164598301763553,0.8566044200788077,104.27,13.98,,0.7522,0.531,1.3041,5.86,1.2248,1.1674
2005-01-05,426.0,44282.700000000004,79.8141891891892,17.633587786259543,84.95423340961098,89.05165767154973,0.7678132678132679,0.16963528413910095,0.8172605426610003,0.8566778034781118,103.95,14.09,,0.7523,0.5298,1.3024,5.895,1.2236,1.1673
2005-01-06,424.35,44501.584500000004,79.82796681129633,17.183352449614944,84.77083501737935,89.38038012443536,0.761208799573723,0.16385384237260364,0.8083420903726456,0.8522969402539845,104.87,13.58,,0.7583,0.5333,1.3137,6.103,1.2371,1.1733
2005-01-07,422.2,44301.446,79.53460168271054,17.211514803575824,85.08067785615827,88.4813222025466,0.7579777154551657,0.16402854096612812,0.8108327252087894,0.8432414200185513,104.93,13.49,,0.7656,0.5347,1.3193,6.0965,1.2333,1.1859
2005-01-10,420.0,43814.399999999994,79.24041017850361,17.45649263721553,85.55027062489748,88.46675712347353,0.759589821496392,0.16733601070950468,0.8200754469411186,0.8480325644504749,104.32,13.23,,0.7628,0.5333,1.3165,5.976,1.2194,1.1792
2005-01-11,421.35,43576.017,79.03102552346019,17.366918555835433,85.1754241475869,87.95713556727335,0.7641754546843955,0.16792611251049538,0.823587547356284,0.8504847763225039,103.42,13.19,,0.7598,0.532,1.3086,5.955,1.2142,1.1758
2005-01-12,426.6,43624.116,78.53467475616313,17.22999157540017,85.34468369220498,87.78435917246115,0.7679901697258275,0.16849199663016007,0.8345852111500585,0.8584427847883939,102.26,12.56,,0.753,0.5282,1.3021,5.935,1.1982,1.1649
2005-01-13,423.6,43440.18,78.65470164135603,17.07544499392244,85.42274052478135,87.45522769913013,0.7669888019634913,0.1665084836072398,0.8329862557267805,0.8528057308545113,102.55,12.84,,0.7572,0.531,1.3038,6.0057,1.2005,1.1726
2005-01-14,422.5,43306.25,77.75754817174935,17.0195101701951,84.09911388250738,86.71009220878099,0.7586102260658474,0.16604400166044,0.8204791598293403,0.8459521191100584,102.5,12.43,,0.763,0.5349,1.3182,6.0225,1.2188,1.1821
2005-01-18,421.75,43170.33,77.56896029099727,16.954037267080746,83.78488990750593,86.46000506799561,0.7578053955744164,0.16563146997929606,0.8185315543914218,0.8446659346228567,102.36,12.47,,0.7667,0.535,1.3196,6.0375,1.2217,1.1839
2005-01-19,424.95,43565.873999999996,77.97383632491633,17.03329567355619,83.56700358656668,86.63906025521845,0.76057195010648,0.16614607562969363,0.8151287903488752,0.8450942280064228,102.52,13.18,,0.7671,0.5336,1.3148,6.0188,1.2268,1.1833
2005-01-20,422.9,43689.799,78.64048108396133,17.061932287365813,83.760337279066,86.78595430107528,0.761208799573723,0.16515276630883569,0.8107669855683476,0.8400537634408602,103.31,13.83,,0.7717,0.5342,1.3137,6.055,1.2334,1.1904
2005-01-21,423.3,43536.405,79.31672707642477,17.256711409395972,84.2273360085169,86.77128153210157,0.7711884013264441,0.16778523489932887,0.8189337482597657,0.843668269636379,102.85,14.36,,0.7663,0.5336,1.2967,5.96,1.2211,1.1853
2005-01-24,427.35,43876.0245,78.9526299600123,17.265618431009838,83.75754609234785,86.59750337381917,0.7689941556444171,0.16816614815437653,0.8157937673356176,0.8434547908232118,102.67,14.65,,0.7668,0.5325,1.3004,5.9465,1.2258,1.1856
2005-01-25,424.5,44215.92,79.68176254589963,17.44723618090452,84.12890719651078,87.09030100334448,0.7649938800489596,0.16750418760469013,0.80768920119538,0.8361204013377926,104.16,14.06,,0.772,0.5363,1.3072,5.97,1.2381,1.196
2005-01-26,425.8,43814.82000000001,79.75507673228957,17.381756756756758,83.6109531161128,86.9969563747041,0.7750736319950395,0.16891891891891891,0.8125457056959454,0.8454514710855596,102.9,13.44,,0.7645,0.531,1.2902,5.92,1.2307,1.1828
2005-01-27,424.5,43787.175,80.0046536880478,17.455536188719478,83.41420022642731,86.98035247491357,0.7756146746296441,0.1692247812769702,0.8086689309396734,0.8432414200185513,103.15,13.24,,0.7673,0.5301,1.2893,5.9093,1.2366,1.1859
2005-01-28,426.8,44152.46,80.18136722988685,17.43049705139006,83.2796651102882,87.10845402492421,0.7750736319950395,0.16849199663016007,0.8050233456770246,0.8420343550016841,103.45,13.24,,0.7673,0.5305,1.2902,5.935,1.2422,1.1876
2005-01-31,422.15,43713.6325,80.34605834885164,17.46205733558179,83.5350112939658,87.18531615727878,0.7759155803848542,0.16863406408094436,0.8067118425298483,0.8419634587858887,103.55,12.82,,0.7663,0.5305,1.2888,5.93,1.2396,1.1877
2005-02-01,420.9,43744.137,80.26722273710226,17.317337332333583,83.78073357517131,87.06542682416018,0.7723200494284832,0.16662501041406316,0.8061265618702137,0.8377314233056882,103.93,12.03,,0.7682,0.5321,1.2948,6.0015,1.2405,1.1937
2005-02-02,421.6,43867.48,80.50290135396519,17.319151769366492,83.8571889103804,87.0784166038999,0.7736943907156674,0.16645028130097542,0.8059316569954869,0.8368901163277261,104.05,11.66,,0.7683,0.5312,1.2925,6.0078,1.2408,1.1949
2005-02-03,416.5,43545.075,80.53458635033122,17.067437190851656,84.15164198325822,86.91495552414996,0.7702973347712216,0.16324664936252184,0.8048937540244688,0.8313242996092776,104.55,11.79,,0.7717,0.5318,1.2982,6.1257,1.2424,1.2029
2005-02-04,415.9,43128.83,80.10814986481267,16.909906237260497,82.99319727891157,85.99386350443652,0.772499034376207,0.16306563391765186,0.8003201280512204,0.8292561572269674,103.7,11.21,,0.7736,0.5305,1.2945,6.1325,1.2495,1.2059
2005-02-07,414.4,43379.392,80.74045507134593,16.890681726502624,83.33067982805287,85.6488299787269,0.7713073659853452,0.16135538523598225,0.7960515841426524,0.8181966944853543,104.68,11.73,,0.7829,0.5374,1.2965,6.1975,1.2562,1.2222
2005-02-08,411.1,43432.715000000004,81.01993865030676,16.951736088826134,84.68259057390189,86.57707121199707,0.7668711656441718,0.16045183235992555,0.8015389547932029,0.8194706219782021,105.65,11.6,,0.7823,0.5385,1.304,6.2324,1.2476,1.2203
2005-02-09,411.15,43516.116,81.32780082987553,17.009240658899156,84.59755415234594,86.96795398520953,0.7684032580298141,0.16070711128967458,0.7992966189753017,0.8216926869350862,105.84,12.0,,0.7814,0.5382,1.3014,6.2225,1.2511,1.217
2005-02-10,415.5,43914.195,82.71247456565972,17.27073664945421,85.19264871836208,87.4410523703152,0.7825950853028643,0.16340937316164456,0.8060615831049492,0.8273351534706709,105.69,11.51,,0.7763,0.5345,1.2778,6.1196,1.2406,1.2087
2005-02-11,418.85,44293.387500000004,83.0453902937019,17.43955935222138,85.4200323101777,87.43282348077717,0.7852991989948169,0.1649130908011478,0.8077544426494346,0.8267879288962381,105.75,11.43,,0.7774,0.5359,1.2734,6.0638,1.238,1.2095
2005-02-14,424.2,44515.547999999995,82.81903559308658,17.372734045194935,85.02673796791444,87.63256784968685,0.7892036934732856,0.16554920950252464,0.8102414519526819,0.8350730688935282,104.94,11.52,,0.7704,0.5286,1.2671,6.0405,1.2342,1.1975
2005-02-15,424.4,44337.068,82.14341877653719,17.44073455759599,84.68709468223086,87.51047076562239,0.7862871520679352,0.1669449081803005,0.8106355382619974,0.8376612497905848,104.47,11.27,,0.7701,0.5293,1.2718,5.99,1.2336,1.1938
2005-02-16,423.1,44687.82200000001,82.58659785753383,17.594242974463196,85.03341115852186,88.6743346486441,0.7819219641879741,0.16658060002332128,0.8050881571532083,0.8395600705230459,105.62,11.1,,0.7696,0.5325,1.2789,6.0031,1.2421,1.1911
2005-02-17,426.25,44926.75,83.08371433075833,17.78302682638772,85.62144597887895,89.13319238900634,0.7882705344474223,0.16871941960519657,0.8123476848090982,0.8456659619450316,105.4,11.77,,0.7644,0.5277,1.2686,5.927,1.231,1.1825
2005-02-18,427.1,45140.199,83.25980778320465,17.801920161697826,85.96876525134212,89.4011165623414,0.7877737513786041,0.16843523665150748,0.8134049129656743,0.845880561664693,105.69,11.18,,0.7648,0.5277,1.2694,5.937,1.2294,1.1822
2005-02-22,432.85,45081.32750000001,82.69811021121168,18.073752711496745,84.66791317779042,89.65309460273738,0.7940289026520565,0.1735357917570499,0.8129420372327453,0.860807437376259,104.15,13.14,,0.7559,0.5238,1.2594,5.7625,1.2301,1.1617
2005-02-23,432.6,45405.695999999996,82.49626660378841,18.088754847048683,84.63151104660538,90.18731740848943,0.7859781498074354,0.17233950883239982,0.8063215610385422,0.8592541673827119,104.96,12.39,,0.7571,0.5245,1.2723,5.8025,1.2402,1.1638
2005-02-24,433.75,45721.5875,82.96733569460842,18.10390725633319,84.7687977482911,90.163373535198,0.7870916961826053,0.17174753112924002,0.8041817450743868,0.8553588230262595,105.41,11.57,,0.7573,0.5235,1.2705,5.8225,1.2435,1.1691
2005-02-25,434.25,45687.4425,82.62132872624468,18.05808245511654,84.79890384460386,90.03080609276056,0.7852991989948169,0.17163846074628403,0.8059966148142178,0.8557247989046722,105.21,11.49,,0.7579,0.5222,1.2734,5.8262,1.2407,1.1686
